No,제목,회사,지역,Link
1,네이버지도광고 마케팅영업 (TM) 담당자 모집 (조기퇴근제 시행),(주)단지,서울 노원구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603130001334&src=etc*search
2,(주)정오그룹 홍보마케팅 담당,주식회사 정오그룹,경기 과천시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603240002587&src=etc*search
3,퍼포먼스 마케터 채용 (네이버/카카오/구글 검색광고 운영),주식회사 케이애드,광주 서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603170000985&src=etc*search
4,퍼포먼스 마케터 모집합니다.,주식회사 애드코드,대구 남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603310000311&src=etc*search
5,퍼포먼스 마케터 채용 공고,(주)조인트크리에이티브,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603190000986&src=etc*search
6,"편집디자이너(시각디자이너,인디자인 우대)",디자인단비,경기 수원시 영통구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603200001749&src=etc*search
7,[코스닥 상장사] 화장품 일본B2C MD,(주)벤처피플,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604010003590&src=etc*search
8,[카고컨테이너] 브랜드 마케터 (경력 1년 이상),(주)카고컨테이너,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300004914&src=etc*search
9,"온리인 쇼핑몰 판매 및 운영관리, 고객상담, 쇼핑몰 운영, 홍보 및 마케팅 2-3년 경력직 모집",협동조합회복적정의평화배움연구소에듀피스,경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603270001623&src=etc*search
10,함께하는 동행에서 마케팅팀 관리자를 모십니다.,(주)함께하는동행,서울 강서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603180001985&src=etc*search
11,국내 유명 소비재 기업 - 미국법인 퍼포먼스마케팅 경력자(과장-임원),주식회사 라피플코리아리미티드,미국 New York,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603190000757&src=etc*search
12,(신입 1~2년차) 마케팅 주니어 채용모집,위드문 인터내셔널 행정사사무소,서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603230005115&src=etc*search
13,국내 유명 소비재 기업 - 미국법인 퍼포먼스마케팅 경력자(과장~임원),주식회사 라피플코리아리미티드,미국 New York,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603140000123&src=etc*search
14,[유명 로펌]마케팅 팀장급,(주)피플스카우트,서울 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603210000350&src=etc*search
15,[경남 고성]코데코(주) 사무직 채용,코데코주식회사,경남 고성군,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603190003663&src=etc*search
