No,제목,회사,지역,Link
1,[EC솔루션연구소] AI 기술 개발자,(주)플래티어,서울 송파구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53329695&location=ts&searchword=%7Bkeyword%7D&searchType=search&paid_fl=n&search_uuid=c7e60d0d-e0b2-49d9-809e-f1e1bf85af6b
2,글로벌 화장품 유통사 쇼피(Shopee）운영 담당자,(주)아시아비엔씨,경기 광명시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52046048&location=ts&searchword=%7Bkeyword%7D&searchType=search&paid_fl=n&search_uuid=c7e60d0d-e0b2-49d9-809e-f1e1bf85af6b
3,[화장품/주4.5일제] 온라인 마케팅 경력직 채용 공고,(주)360퍼스펙티브,서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53105693&location=ts&searchword=%7Bkeyword%7D&searchType=search&paid_fl=n&search_uuid=c7e60d0d-e0b2-49d9-809e-f1e1bf85af6b
4,[화장품/주4.5일제] 상품기획/BM 경력직 채용 공고,(주)360퍼스펙티브,서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53216347&location=ts&searchword=%7Bkeyword%7D&searchType=search&paid_fl=n&search_uuid=c7e60d0d-e0b2-49d9-809e-f1e1bf85af6b
5,[화장품/주4.5일제] BX디자인 경력 채용 공고,(주)360퍼스펙티브,서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53288884&location=ts&searchword=%7Bkeyword%7D&searchType=search&paid_fl=n&search_uuid=c7e60d0d-e0b2-49d9-809e-f1e1bf85af6b
6,[화장품/주4.5일제] 일본 영업마케팅 경력직 채용,(주)360퍼스펙티브,서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53436644&location=ts&searchword=%7Bkeyword%7D&searchType=search&paid_fl=n&search_uuid=c7e60d0d-e0b2-49d9-809e-f1e1bf85af6b
7,[화장품/주4.5일제] 재무회계 실무 총괄 경력직 채용,(주)360퍼스펙티브,서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53436670&location=ts&searchword=%7Bkeyword%7D&searchType=search&paid_fl=n&search_uuid=c7e60d0d-e0b2-49d9-809e-f1e1bf85af6b
8,[에코마인] 코스메틱 디자인사업부 팀원 채용,(주)에코마인,부산 강서구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53013115&location=ts&searchword=%7Bkeyword%7D&searchType=search&paid_fl=n&search_uuid=c7e60d0d-e0b2-49d9-809e-f1e1bf85af6b
9,[에코마인] 코스메틱 디자인사업부 팀장급 채용,(주)에코마인,부산 강서구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53013098&location=ts&searchword=%7Bkeyword%7D&searchType=search&paid_fl=n&search_uuid=c7e60d0d-e0b2-49d9-809e-f1e1bf85af6b
10,명지전문대학 정규직원(일반행정 시설) ~ 04.10. 오전 11:00까지,명지전문대학,서울 서대문구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53517200&location=ts&searchword=%7Bkeyword%7D&searchType=search&paid_fl=n&search_uuid=c7e60d0d-e0b2-49d9-809e-f1e1bf85af6b
11,(주)엔티티웍스 해외영업팀 채용,(주)엔티티웍스,서울 은평구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53143291&location=ts&searchword=%7Bkeyword%7D&searchType=search&paid_fl=n&search_uuid=c7e60d0d-e0b2-49d9-809e-f1e1bf85af6b
12,성형관광 플랫폼 퍼포먼스 마케터 모집,글로벌알파미디어(주),서울 송파구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53500606&location=ts&searchword=%7Bkeyword%7D&searchType=search&paid_fl=n&search_uuid=c7e60d0d-e0b2-49d9-809e-f1e1bf85af6b
13,인턴-채용연계 프로그램 안내 정규직 되자(~4.14),사단법인 한국기술사업화협회,서울 서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53305508&location=ts&searchword=%7Bkeyword%7D&searchType=search&paid_fl=n&search_uuid=c7e60d0d-e0b2-49d9-809e-f1e1bf85af6b
14,서울시 매력일자리 인턴-정규직 연계 프로그램(~4.21),사단법인 한국기술사업화협회,서울 서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53305853&location=ts&searchword=%7Bkeyword%7D&searchType=search&paid_fl=n&search_uuid=c7e60d0d-e0b2-49d9-809e-f1e1bf85af6b
15,(스타트업) 로워드 Back-End Engineer 채용 (경력),(주)로워드,서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53413348&location=ts&searchword=%7Bkeyword%7D&searchType=search&paid_fl=n&search_uuid=c7e60d0d-e0b2-49d9-809e-f1e1bf85af6b
16,(스타트업) 로워드 Back-End Engineer 채용 (신입),(주)로워드,서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53458766&location=ts&searchword=%7Bkeyword%7D&searchType=search&paid_fl=n&search_uuid=c7e60d0d-e0b2-49d9-809e-f1e1bf85af6b
